کد ملک,تاریخ اپلود,نوع ملک,آدرس,نوع معامله,قیمت واحد,قیمت کل,طبقه,خواب,زیربنا,تلفن,آشپزخانه,سرویس,کفپوش
3524448,1403/05/13,آپارتمان,فرجام چهارراه ولیعصر,خرید,"94,820,000","11,000,000,000",4,2,116,1,چوبي,ايرانی,سنگ
10264522,1403/05/13,آپارتمان,جنت آباد شاهین شمالی,خرید,"86,153,000","11,200,000,000",4,2,130,1,MDF,ايراني فرنگي,پارکت سنگ
3856156,1403/05/13,مستغلات,سراج كوچه شهید فرزانه آزادی,خرید,"153,840,000","20,000,000,000",4,6,280,4,فلزي,ايرانی,سراميک
10354250,1403/05/13,آپارتمان,تهران پارس خ خان میرزایی,خرید,"110,112,000","9,800,000,000",1,2,89,1,هایگلاس,ايراني فرنگي,سنگ
3992183,1403/05/13,مستغلات,ستاری پیامبرمركزی خ هجرت,خرید,"260,000,000","96,200,000,000",1,8,340,1,فلزي,ايرانی,موزائيک
3465648,1403/05/13,مغازه,پونك سردار جنگل جنوب,خرید,"700,000,000","49,000,000,000",1,0,70,0,آبدارخانه,ايرانی,سراميک
10300956,1403/05/13,مستغلات,تهرانپارس خ استخر,خرید,"160,000,000","13,440,000,000",1,1,60,1,فلزي,ايرانی,سراميک
3803762,1403/05/13,آپارتمان,اشرفی اصفهانی سیمون بولیوار خ الوند,معاوضه,"100,000,000","21,000,000,000",1,3,210,1,MDF,ايرانی,سنگ
10332539,1403/05/13,آپارتمان,تهرانپارس فلكه سوم خ 194,خرید,"113,043,000","13,000,000,000",2,2,115,1,هایگلاس,ايراني فرنگي,سنگ
10335103,1403/05/13,آپارتمان,تهرانپارس فلكه اول,خرید,"101,648,000","9,250,000,000",3,2,91,1,چوبي,ايراني فرنگي,سنگ
10134194,1403/05/13,مغازه,جردن بالاتر از بلوار گلشهر,خرید,"450,000,000","6,300,000,000",3,0,14,2,نا مشخص,نامشخص,سنگ
3932467,1403/05/13,مستغلات,ظفر زرگنده خ عطاری مقدم,خرید,"350,000,000","35,000,000,000",3,4,225,2,MDF,ايرانی,سراميک
10252635,1403/05/13,مستغلات,ملاصدرا خوارزمی,خرید,"257,352,000","210,000,000,000",3,10,880,1,MDF,ايرانی,سراميک
3367814,1403/05/13,مغازه,گیشا خ بلوچستان,خرید,"675,675,000","25,000,000,000",3,0,37,1,نا مشخص,ايرانی,سنگ
3394117,1403/05/13,اداری,بزرگراه ارتش نرسیده به مجتمع شمیران سنتر,خرید,"145,000,000","24,070,000,000",3,3,166,2,آبدارخانه,ايرانی,سنگ
10245955,1403/05/13,تجاری,ونك چهارراه كار و تجارت,خرید,"400,000,000","41,600,000,000",3,0,104,1,نا مشخص,نامشخص,سنگ
10132403,1403/05/13,مستغلات,گاندی نرسیده به خ هفدهم,خرید,"270,000,000","135,000,000,000",3,9,696,1,چوبي,ايرانی,سراميک
